OrderID,OrderDate,CustomerID,Region,Category,Product,Quantity,Price,Cost,Revenue,Profit,Returned
1,2025-07-01 11:20:47.314623,1860,South,Sports,Dumbbell,2,22480.29,11577.63,44960.58,21805.32,No
2,2025-07-05 11:20:47.314623,4772,South,Clothing,Shirt,3,26531.49,20644.41,79594.47,17661.24,No
3,2025-01-27 11:20:47.314623,4092,West,Electronics,Laptop,3,41385.96,25009.2,124157.88,49130.28,No
4,2024-08-19 11:20:47.314623,1466,East,Clothing,Shoes,1,20803.9,13609.92,20803.9,7193.98,Yes
5,2024-03-24 11:20:47.314623,5426,West,Sports,Treadmill,3,11657.87,7263.47,34973.61,13183.2,No
6,2024-11-03 11:20:47.314623,4444,South,Electronics,Mobile,4,28601.96,21335.25,114407.84,29066.84,No
7,2025-12-12 11:20:47.314623,4171,South,Home,Sofa,2,46887.94,26341.94,93775.88,41092.0,No
8,2025-10-14 11:20:47.314623,3919,South,Home,Sofa,4,34721.96,27369.07,138887.84,29411.56,Yes
9,2024-07-18 11:20:47.314623,1130,South,Home,Table,3,15556.49,13533.69,46669.47,6068.4,No
10,2025-05-26 11:20:47.314623,2685,West,Sports,Bat,4,48157.09,40184.37,192628.36,31890.88,No
11,2025-09-11 11:20:47.314623,1769,South,Home,Chair,1,17267.3,14898.48,17267.3,2368.82,No
12,2025-01-18 11:20:47.314623,3391,East,Electronics,Laptop,4,49166.05,43011.85,196664.2,24616.8,No
13,2025-09-29 11:20:47.314623,3433,South,Home,Cookware,3,9761.09,6334.3,29283.27,10280.37,No
14,2025-09-26 11:20:47.314623,2184,East,Electronics,Headphones,3,49982.55,40900.52,149947.65,27246.09,No
15,2025-10-16 11:20:47.314623,5555,East,Sports,Racket,2,3980.1,2777.83,7960.2,2404.54,No
16,2025-03-25 11:20:47.314623,4385,North,Clothing,T-shirt,4,35719.35,21714.12,142877.4,56020.92,No
17,2024-09-03 11:20:47.314623,5117,North,Beauty,Lipstick,1,37073.99,29612.95,37073.99,7461.04,No
18,2024-03-21 11:20:47.314623,5843,East,Home,Cookware,2,34042.82,20345.74,68085.64,27394.16,No
19,2024-05-06 11:20:47.314623,3904,East,Beauty,Lipstick,3,38924.82,21169.19,116774.46,53266.89,No
